ID,Data,Categoria,Descrição,Valor,Forma de Pagamento,Renda Mensal,Localização
1,2024-09-12,Saúde,Despesa 1 em saúde,724.93,Transferência,3500.0,São Paulo
2,2024-09-21,Transporte,Despesa 2 em transporte,326.92,Dinheiro,3500.0,Curitiba
3,2023-10-26,Moradia,Despesa 3 em moradia,210.17,Transferência,3500.0,Belo Horizonte
4,2024-02-19,Alimentação,Despesa 4 em alimentação,1151.44,Transferência,3500.0,Belo Horizonte
5,2024-06-08,Saúde,Despesa 5 em saúde,810.16,Cartão de Crédito,3500.0,Belo Horizonte
6,2024-10-05,Saúde,Despesa 6 em saúde,988.07,Dinheiro,3500.0,Salvador
7,2024-08-28,Transporte,Despesa 7 em transporte,172.79,Transferência,3500.0,São Paulo
8,2024-01-22,Alimentação,Despesa 8 em alimentação,1044.25,Transferência,3500.0,São Paulo
9,2023-11-04,Moradia,Despesa 9 em moradia,869.65,Dinheiro,3500.0,São Paulo
10,2023-12-28,Entretenimento,Despesa 10 em entretenimento,647.59,Dinheiro,3500.0,Rio de Janeiro
11,2023-12-08,Moradia,Despesa 11 em moradia,68.05,Transferência,3500.0,Curitiba
12,2024-05-18,Alimentação,Despesa 12 em alimentação,1005.62,Dinheiro,3500.0,Salvador
13,2024-01-20,Alimentação,Despesa 13 em alimentação,1040.9,Cartão de Crédito,3500.0,Curitiba
14,2024-10-05,Entretenimento,Despesa 14 em entretenimento,32.16,Dinheiro,3500.0,Curitiba
15,2024-05-28,Alimentação,Despesa 15 em alimentação,191.71,Transferência,3500.0,Curitiba
16,2024-07-10,Saúde,Despesa 16 em saúde,212.3,Dinheiro,3500.0,Rio de Janeiro
17,2024-05-29,Saúde,Despesa 17 em saúde,1138.45,Cartão de Crédito,3500.0,Belo Horizonte
18,2024-05-02,Entretenimento,Despesa 18 em entretenimento,1429.7,Cartão de Crédito,3500.0,Rio de Janeiro
19,2024-04-27,Transporte,Despesa 19 em transporte,1182.75,Dinheiro,3500.0,Rio de Janeiro
20,2024-08-09,Alimentação,Despesa 20 em alimentação,873.71,Dinheiro,3500.0,Rio de Janeiro
21,2024-06-18,Transporte,Despesa 21 em transporte,1197.49,Cartão de Crédito,3500.0,Rio de Janeiro
22,2024-01-24,Saúde,Despesa 22 em saúde,597.85,Dinheiro,3500.0,Salvador
23,2024-01-20,Entretenimento,Despesa 23 em entretenimento,490.27,Cartão de Crédito,3500.0,São Paulo
24,2024-02-28,Entretenimento,Despesa 24 em entretenimento,187.99,Dinheiro,3500.0,Curitiba
25,2024-05-11,Saúde,Despesa 25 em saúde,1261.62,Transferência,3500.0,Belo Horizonte
26,2023-12-05,Moradia,Despesa 26 em moradia,870.92,Dinheiro,3500.0,Curitiba
27,2024-05-08,Moradia,Despesa 27 em moradia,1159.95,Cartão de Crédito,3500.0,Rio de Janeiro
28,2024-04-25,Entretenimento,Despesa 28 em entretenimento,464.45,Dinheiro,3500.0,Salvador
29,2024-04-23,Transporte,Despesa 29 em transporte,1117.16,Transferência,3500.0,Salvador
30,2024-08-30,Transporte,Despesa 30 em transporte,642.01,Transferência,3500.0,Salvador
31,2023-12-08,Alimentação,Despesa 31 em alimentação,588.32,Transferência,3500.0,Belo Horizonte
32,2023-12-10,Saúde,Despesa 32 em saúde,206.66,Transferência,3500.0,Belo Horizonte
33,2024-09-21,Entretenimento,Despesa 33 em entretenimento,962.88,Transferência,3500.0,Belo Horizonte
34,2024-08-09,Transporte,Despesa 34 em transporte,577.32,Transferência,3500.0,São Paulo
35,2024-07-08,Entretenimento,Despesa 35 em entretenimento,1401.7,Cartão de Crédito,3500.0,Belo Horizonte
36,2024-08-21,Transporte,Despesa 36 em transporte,874.71,Cartão de Crédito,3500.0,Rio de Janeiro
37,2023-12-11,Transporte,Despesa 37 em transporte,505.7,Cartão de Crédito,3500.0,Salvador
38,2023-10-29,Alimentação,Despesa 38 em alimentação,467.99,Transferência,3500.0,São Paulo
39,2024-06-11,Entretenimento,Despesa 39 em entretenimento,1405.77,Dinheiro,3500.0,Salvador
40,2024-07-15,Moradia,Despesa 40 em moradia,440.74,Transferência,3500.0,Salvador
41,2024-08-02,Moradia,Despesa 41 em moradia,709.55,Cartão de Crédito,3500.0,Salvador
42,2023-12-06,Moradia,Despesa 42 em moradia,1030.8,Cartão de Crédito,3500.0,Curitiba
43,2024-06-04,Transporte,Despesa 43 em transporte,1178.83,Dinheiro,3500.0,Rio de Janeiro
44,2023-11-11,Saúde,Despesa 44 em saúde,1481.32,Cartão de Crédito,3500.0,Salvador
45,2024-04-22,Moradia,Despesa 45 em moradia,1418.01,Dinheiro,3500.0,Belo Horizonte
46,2024-05-09,Moradia,Despesa 46 em moradia,1496.77,Transferência,3500.0,São Paulo
47,2023-12-07,Entretenimento,Despesa 47 em entretenimento,1219.46,Cartão de Crédito,3500.0,Rio de Janeiro
48,2024-08-28,Moradia,Despesa 48 em moradia,760.22,Cartão de Crédito,3500.0,Belo Horizonte
49,2024-03-19,Moradia,Despesa 49 em moradia,829.64,Cartão de Crédito,3500.0,Rio de Janeiro
50,2024-05-11,Saúde,Despesa 50 em saúde,1195.25,Cartão de Crédito,3500.0,Rio de Janeiro
51,2024-05-01,Transporte,Despesa 51 em transporte,77.85,Cartão de Crédito,3500.0,Belo Horizonte
52,2024-10-07,Saúde,Despesa 52 em saúde,339.86,Transferência,3500.0,Salvador
53,2024-01-08,Saúde,Despesa 53 em saúde,1099.92,Cartão de Crédito,3500.0,Rio de Janeiro
54,2024-05-11,Transporte,Despesa 54 em transporte,1305.83,Transferência,3500.0,Salvador
55,2023-12-06,Alimentação,Despesa 55 em alimentação,593.1,Transferência,3500.0,Rio de Janeiro
56,2024-08-05,Moradia,Despesa 56 em moradia,1384.27,Cartão de Crédito,3500.0,Belo Horizonte
57,2023-10-20,Entretenimento,Despesa 57 em entretenimento,569.13,Dinheiro,3500.0,Curitiba
58,2023-11-20,Saúde,Despesa 58 em saúde,1416.14,Cartão de Crédito,3500.0,Curitiba
59,2023-11-26,Moradia,Despesa 59 em moradia,107.74,Dinheiro,3500.0,Rio de Janeiro
60,2024-07-31,Moradia,Despesa 60 em moradia,517.94,Dinheiro,3500.0,Curitiba
61,2024-05-24,Transporte,Despesa 61 em transporte,414.35,Transferência,3500.0,Rio de Janeiro
62,2024-04-13,Transporte,Despesa 62 em transporte,1102.16,Cartão de Crédito,3500.0,Curitiba
63,2024-02-07,Transporte,Despesa 63 em transporte,1267.58,Cartão de Crédito,3500.0,Salvador
64,2024-03-10,Saúde,Despesa 64 em saúde,1403.84,Dinheiro,3500.0,Curitiba
65,2024-09-16,Moradia,Despesa 65 em moradia,622.28,Transferência,3500.0,Rio de Janeiro
66,2024-09-18,Moradia,Despesa 66 em moradia,875.18,Cartão de Crédito,3500.0,São Paulo
67,2023-10-30,Moradia,Despesa 67 em moradia,1185.84,Dinheiro,3500.0,Rio de Janeiro
68,2023-12-10,Moradia,Despesa 68 em moradia,113.64,Transferência,3500.0,Salvador
69,2024-06-07,Moradia,Despesa 69 em moradia,850.59,Cartão de Crédito,3500.0,Belo Horizonte
70,2024-04-26,Saúde,Despesa 70 em saúde,127.83,Cartão de Crédito,3500.0,Rio de Janeiro
71,2024-02-12,Alimentação,Despesa 71 em alimentação,757.61,Dinheiro,3500.0,São Paulo
72,2024-03-09,Transporte,Despesa 72 em transporte,285.63,Dinheiro,3500.0,Salvador
73,2024-08-04,Transporte,Despesa 73 em transporte,1026.82,Transferência,3500.0,Salvador
74,2024-07-26,Alimentação,Despesa 74 em alimentação,731.35,Transferência,3500.0,Rio de Janeiro
75,2024-08-09,Alimentação,Despesa 75 em alimentação,1045.12,Dinheiro,3500.0,Belo Horizonte
76,2024-06-28,Moradia,Despesa 76 em moradia,1259.8,Dinheiro,3500.0,São Paulo
77,2024-03-26,Saúde,Despesa 77 em saúde,1037.56,Transferência,3500.0,Salvador
78,2024-06-06,Moradia,Despesa 78 em moradia,654.1,Transferência,3500.0,Salvador
79,2024-09-12,Alimentação,Despesa 79 em alimentação,1227.19,Dinheiro,3500.0,São Paulo
80,2024-07-31,Transporte,Despesa 80 em transporte,565.68,Dinheiro,3500.0,Rio de Janeiro
81,2024-07-21,Transporte,Despesa 81 em transporte,470.17,Transferência,3500.0,Curitiba
82,2024-04-25,Saúde,Despesa 82 em saúde,745.52,Dinheiro,3500.0,Rio de Janeiro
83,2023-12-16,Moradia,Despesa 83 em moradia,373.55,Cartão de Crédito,3500.0,Rio de Janeiro
84,2024-04-09,Saúde,Despesa 84 em saúde,204.95,Dinheiro,3500.0,Rio de Janeiro
85,2024-06-28,Transporte,Despesa 85 em transporte,848.54,Transferência,3500.0,Belo Horizonte
86,2024-06-06,Moradia,Despesa 86 em moradia,604.07,Transferência,3500.0,Curitiba
87,2023-10-29,Alimentação,Despesa 87 em alimentação,1121.02,Transferência,3500.0,Curitiba
88,2023-11-05,Entretenimento,Despesa 88 em entretenimento,1143.93,Cartão de Crédito,3500.0,Curitiba
89,2024-05-23,Alimentação,Despesa 89 em alimentação,989.98,Transferência,3500.0,Salvador
90,2023-10-24,Transporte,Despesa 90 em transporte,728.58,Cartão de Crédito,3500.0,Curitiba
91,2024-06-27,Entretenimento,Despesa 91 em entretenimento,1368.42,Dinheiro,3500.0,Salvador
92,2024-02-13,Moradia,Despesa 92 em moradia,969.51,Cartão de Crédito,3500.0,Curitiba
93,2024-10-14,Saúde,Despesa 93 em saúde,1325.84,Dinheiro,3500.0,Salvador
94,2023-11-15,Transporte,Despesa 94 em transporte,179.23,Dinheiro,3500.0,Curitiba
95,2024-07-13,Saúde,Despesa 95 em saúde,46.93,Transferência,3500.0,Salvador
96,2024-08-30,Entretenimento,Despesa 96 em entretenimento,1345.8,Cartão de Crédito,3500.0,Curitiba
97,2024-03-06,Transporte,Despesa 97 em transporte,1176.43,Dinheiro,3500.0,Salvador
98,2023-11-15,Saúde,Despesa 98 em saúde,376.24,Transferência,3500.0,Curitiba
99,2024-09-13,Transporte,Despesa 99 em transporte,148.17,Cartão de Crédito,3500.0,Salvador
100,2024-02-09,Transporte,Despesa 100 em transporte,773.67,Transferência,3500.0,São Paulo
101,2023-12-29,Saúde,Despesa 101 em saúde,327.0,Dinheiro,3500.0,São Paulo
102,2024-06-11,Alimentação,Despesa 102 em alimentação,607.5,Transferência,3500.0,Rio de Janeiro
103,2024-03-04,Entretenimento,Despesa 103 em entretenimento,1416.42,Transferência,3500.0,Salvador
104,2024-09-01,Saúde,Despesa 104 em saúde,43.1,Cartão de Crédito,3500.0,Rio de Janeiro
105,2024-05-11,Entretenimento,Despesa 105 em entretenimento,868.16,Dinheiro,3500.0,São Paulo
106,2024-05-20,Transporte,Despesa 106 em transporte,83.14,Transferência,3500.0,Curitiba
107,2024-10-06,Entretenimento,Despesa 107 em entretenimento,1068.92,Cartão de Crédito,3500.0,Curitiba
108,2024-06-09,Alimentação,Despesa 108 em alimentação,1456.68,Dinheiro,3500.0,Belo Horizonte
109,2023-11-14,Saúde,Despesa 109 em saúde,300.43,Transferência,3500.0,Rio de Janeiro
110,2024-02-16,Saúde,Despesa 110 em saúde,209.3,Cartão de Crédito,3500.0,Rio de Janeiro
111,2024-09-09,Saúde,Despesa 111 em saúde,1251.88,Transferência,3500.0,Salvador
112,2023-11-29,Entretenimento,Despesa 112 em entretenimento,93.73,Transferência,3500.0,Belo Horizonte
113,2024-05-21,Alimentação,Despesa 113 em alimentação,498.71,Cartão de Crédito,3500.0,São Paulo
114,2024-07-19,Alimentação,Despesa 114 em alimentação,860.57,Dinheiro,3500.0,São Paulo
115,2023-11-14,Transporte,Despesa 115 em transporte,1415.11,Dinheiro,3500.0,Rio de Janeiro
116,2024-07-31,Transporte,Despesa 116 em transporte,540.38,Transferência,3500.0,Curitiba
117,2024-04-11,Moradia,Despesa 117 em moradia,1474.42,Dinheiro,3500.0,Belo Horizonte
118,2023-10-25,Entretenimento,Despesa 118 em entretenimento,439.11,Cartão de Crédito,3500.0,São Paulo
119,2023-12-26,Moradia,Despesa 119 em moradia,879.93,Cartão de Crédito,3500.0,São Paulo
120,2024-09-26,Saúde,Despesa 120 em saúde,1448.47,Cartão de Crédito,3500.0,Curitiba
121,2024-08-02,Entretenimento,Despesa 121 em entretenimento,1009.44,Dinheiro,3500.0,Salvador
122,2024-07-05,Moradia,Despesa 122 em moradia,958.45,Dinheiro,3500.0,Curitiba
123,2024-06-01,Moradia,Despesa 123 em moradia,441.84,Transferência,3500.0,Rio de Janeiro
124,2024-06-24,Saúde,Despesa 124 em saúde,98.49,Dinheiro,3500.0,Belo Horizonte
125,2024-08-03,Alimentação,Despesa 125 em alimentação,1434.05,Cartão de Crédito,3500.0,São Paulo
126,2023-10-21,Transporte,Despesa 126 em transporte,385.86,Transferência,3500.0,Curitiba
127,2024-05-21,Moradia,Despesa 127 em moradia,1365.49,Dinheiro,3500.0,Curitiba
128,2024-08-13,Alimentação,Despesa 128 em alimentação,776.18,Cartão de Crédito,3500.0,São Paulo
129,2023-12-02,Transporte,Despesa 129 em transporte,764.35,Transferência,3500.0,Rio de Janeiro
130,2023-11-04,Moradia,Despesa 130 em moradia,385.72,Transferência,3500.0,Salvador
131,2024-05-19,Transporte,Despesa 131 em transporte,600.08,Dinheiro,3500.0,Salvador
132,2024-02-03,Entretenimento,Despesa 132 em entretenimento,448.17,Dinheiro,3500.0,Belo Horizonte
133,2024-03-16,Moradia,Despesa 133 em moradia,77.6,Dinheiro,3500.0,Salvador
134,2023-12-23,Transporte,Despesa 134 em transporte,954.03,Cartão de Crédito,3500.0,Rio de Janeiro
135,2024-01-25,Transporte,Despesa 135 em transporte,238.29,Dinheiro,3500.0,Curitiba
136,2024-05-29,Alimentação,Despesa 136 em alimentação,949.56,Dinheiro,3500.0,Salvador
137,2023-11-03,Moradia,Despesa 137 em moradia,982.37,Dinheiro,3500.0,São Paulo
138,2023-11-27,Saúde,Despesa 138 em saúde,1158.39,Transferência,3500.0,Rio de Janeiro
139,2024-03-25,Alimentação,Despesa 139 em alimentação,175.26,Dinheiro,3500.0,São Paulo
140,2023-12-15,Transporte,Despesa 140 em transporte,1343.23,Transferência,3500.0,São Paulo
141,2024-07-30,Moradia,Despesa 141 em moradia,683.84,Dinheiro,3500.0,São Paulo
142,2024-02-08,Saúde,Despesa 142 em saúde,480.9,Cartão de Crédito,3500.0,Rio de Janeiro
143,2024-01-03,Entretenimento,Despesa 143 em entretenimento,452.4,Dinheiro,3500.0,Salvador
144,2024-08-15,Alimentação,Despesa 144 em alimentação,6.81,Dinheiro,3500.0,São Paulo
145,2024-06-13,Entretenimento,Despesa 145 em entretenimento,822.1,Cartão de Crédito,3500.0,Curitiba
146,2024-09-27,Saúde,Despesa 146 em saúde,795.28,Cartão de Crédito,3500.0,São Paulo
147,2024-03-28,Transporte,Despesa 147 em transporte,614.98,Dinheiro,3500.0,Salvador
148,2024-03-26,Entretenimento,Despesa 148 em entretenimento,1495.95,Dinheiro,3500.0,São Paulo
149,2024-07-05,Transporte,Despesa 149 em transporte,730.61,Transferência,3500.0,São Paulo
150,2024-05-23,Transporte,Despesa 150 em transporte,983.87,Dinheiro,3500.0,Belo Horizonte
151,2024-05-28,Entretenimento,Despesa 151 em entretenimento,486.04,Dinheiro,3500.0,Belo Horizonte
152,2024-06-15,Entretenimento,Despesa 152 em entretenimento,809.13,Transferência,3500.0,São Paulo
153,2024-06-28,Transporte,Despesa 153 em transporte,1211.53,Dinheiro,3500.0,São Paulo
154,2023-11-08,Alimentação,Despesa 154 em alimentação,970.42,Transferência,3500.0,Curitiba
155,2024-10-13,Entretenimento,Despesa 155 em entretenimento,326.55,Dinheiro,3500.0,Salvador
156,2024-07-25,Entretenimento,Despesa 156 em entretenimento,1140.48,Cartão de Crédito,3500.0,Curitiba
157,2024-01-19,Moradia,Despesa 157 em moradia,608.58,Cartão de Crédito,3500.0,Belo Horizonte
158,2024-04-19,Moradia,Despesa 158 em moradia,1278.18,Dinheiro,3500.0,Curitiba
159,2024-06-22,Saúde,Despesa 159 em saúde,730.8,Transferência,3500.0,São Paulo
160,2024-06-18,Saúde,Despesa 160 em saúde,533.86,Cartão de Crédito,3500.0,Salvador
161,2023-12-15,Transporte,Despesa 161 em transporte,1002.82,Transferência,3500.0,Salvador
162,2024-09-05,Saúde,Despesa 162 em saúde,990.5,Dinheiro,3500.0,Salvador
163,2023-12-26,Moradia,Despesa 163 em moradia,772.54,Dinheiro,3500.0,Rio de Janeiro
164,2024-05-13,Entretenimento,Despesa 164 em entretenimento,413.05,Transferência,3500.0,Rio de Janeiro
165,2023-10-23,Moradia,Despesa 165 em moradia,184.4,Transferência,3500.0,São Paulo
166,2024-04-19,Moradia,Despesa 166 em moradia,406.47,Dinheiro,3500.0,Curitiba
167,2024-04-07,Moradia,Despesa 167 em moradia,170.1,Cartão de Crédito,3500.0,Salvador
168,2024-09-23,Moradia,Despesa 168 em moradia,1104.59,Dinheiro,3500.0,Rio de Janeiro
169,2024-08-08,Transporte,Despesa 169 em transporte,869.08,Dinheiro,3500.0,Curitiba
170,2024-06-09,Moradia,Despesa 170 em moradia,8.35,Dinheiro,3500.0,Curitiba
171,2024-06-26,Entretenimento,Despesa 171 em entretenimento,714.52,Cartão de Crédito,3500.0,São Paulo
172,2023-11-09,Alimentação,Despesa 172 em alimentação,1010.91,Dinheiro,3500.0,Rio de Janeiro
173,2024-04-17,Saúde,Despesa 173 em saúde,261.4,Dinheiro,3500.0,Rio de Janeiro
174,2024-02-21,Alimentação,Despesa 174 em alimentação,1452.35,Transferência,3500.0,Belo Horizonte
175,2024-07-26,Moradia,Despesa 175 em moradia,149.11,Cartão de Crédito,3500.0,São Paulo
176,2023-10-18,Moradia,Despesa 176 em moradia,345.29,Dinheiro,3500.0,Rio de Janeiro
177,2023-11-09,Moradia,Despesa 177 em moradia,1222.68,Transferência,3500.0,Curitiba
178,2024-03-24,Alimentação,Despesa 178 em alimentação,982.64,Dinheiro,3500.0,São Paulo
179,2024-10-08,Saúde,Despesa 179 em saúde,238.38,Transferência,3500.0,Rio de Janeiro
180,2024-07-07,Alimentação,Despesa 180 em alimentação,387.0,Dinheiro,3500.0,Belo Horizonte
181,2024-04-28,Moradia,Despesa 181 em moradia,39.96,Transferência,3500.0,São Paulo
182,2023-11-27,Transporte,Despesa 182 em transporte,1089.92,Transferência,3500.0,São Paulo
183,2024-04-08,Entretenimento,Despesa 183 em entretenimento,47.15,Transferência,3500.0,Rio de Janeiro
184,2024-06-11,Moradia,Despesa 184 em moradia,1193.99,Dinheiro,3500.0,Salvador
185,2024-01-02,Entretenimento,Despesa 185 em entretenimento,63.64,Cartão de Crédito,3500.0,Rio de Janeiro
186,2024-09-04,Alimentação,Despesa 186 em alimentação,1353.77,Transferência,3500.0,Salvador
187,2024-01-24,Moradia,Despesa 187 em moradia,582.36,Dinheiro,3500.0,Curitiba
188,2024-02-14,Moradia,Despesa 188 em moradia,205.5,Dinheiro,3500.0,São Paulo
189,2023-11-01,Alimentação,Despesa 189 em alimentação,100.79,Cartão de Crédito,3500.0,Curitiba
190,2023-10-28,Transporte,Despesa 190 em transporte,373.13,Cartão de Crédito,3500.0,Curitiba
191,2024-01-18,Entretenimento,Despesa 191 em entretenimento,551.7,Transferência,3500.0,Salvador
192,2023-11-01,Saúde,Despesa 192 em saúde,1157.31,Dinheiro,3500.0,São Paulo
193,2023-11-14,Saúde,Despesa 193 em saúde,362.22,Transferência,3500.0,Belo Horizonte
194,2024-08-05,Entretenimento,Despesa 194 em entretenimento,173.84,Cartão de Crédito,3500.0,Belo Horizonte
195,2023-12-17,Entretenimento,Despesa 195 em entretenimento,212.65,Dinheiro,3500.0,Belo Horizonte
196,2024-02-16,Moradia,Despesa 196 em moradia,51.2,Cartão de Crédito,3500.0,Belo Horizonte
197,2023-12-27,Moradia,Despesa 197 em moradia,698.75,Dinheiro,3500.0,Curitiba
198,2024-03-27,Entretenimento,Despesa 198 em entretenimento,222.94,Transferência,3500.0,Belo Horizonte
199,2024-04-06,Entretenimento,Despesa 199 em entretenimento,1497.8,Transferência,3500.0,Curitiba
200,2023-11-06,Saúde,Despesa 200 em saúde,139.78,Cartão de Crédito,3500.0,Salvador
201,2024-08-27,Saúde,Despesa 201 em saúde,359.19,Cartão de Crédito,3500.0,São Paulo
202,2024-08-20,Alimentação,Despesa 202 em alimentação,452.51,Dinheiro,3500.0,Curitiba
203,2024-09-22,Transporte,Despesa 203 em transporte,457.43,Cartão de Crédito,3500.0,Salvador
204,2024-06-02,Entretenimento,Despesa 204 em entretenimento,221.07,Cartão de Crédito,3500.0,Belo Horizonte
205,2024-08-03,Transporte,Despesa 205 em transporte,1170.97,Transferência,3500.0,Belo Horizonte
206,2024-08-10,Moradia,Despesa 206 em moradia,1025.26,Cartão de Crédito,3500.0,Rio de Janeiro
207,2024-04-12,Entretenimento,Despesa 207 em entretenimento,731.41,Cartão de Crédito,3500.0,Belo Horizonte
208,2024-08-20,Moradia,Despesa 208 em moradia,13.45,Dinheiro,3500.0,Belo Horizonte
209,2024-06-02,Entretenimento,Despesa 209 em entretenimento,292.06,Cartão de Crédito,3500.0,São Paulo
210,2024-06-18,Alimentação,Despesa 210 em alimentação,822.77,Cartão de Crédito,3500.0,Rio de Janeiro
211,2024-06-18,Saúde,Despesa 211 em saúde,220.79,Cartão de Crédito,3500.0,Salvador
212,2024-10-04,Transporte,Despesa 212 em transporte,249.65,Transferência,3500.0,Rio de Janeiro
213,2024-05-12,Entretenimento,Despesa 213 em entretenimento,17.48,Cartão de Crédito,3500.0,Belo Horizonte
214,2024-07-29,Transporte,Despesa 214 em transporte,1429.15,Cartão de Crédito,3500.0,São Paulo
215,2023-12-27,Alimentação,Despesa 215 em alimentação,514.85,Cartão de Crédito,3500.0,Belo Horizonte
