"data";"caixa_e_equivalentes";"titulos_e_valores_mobiliarios_tvm";"titulos_publicos";"acoes";"debentures";"outros_tvm";"carteira_de_credito";"creditos_perante_o_tn";"investimentos";"outros_ativos";"ativo_total";"tesouro_nacional";"repasses";"instrumentos_elegiveis_ao_capital_principal";"fat";"pis_pasep";"captacoes_externas";"mercado";"organismos_multilaterais";"outras_fontes_governamentais";"fgts";"fi_fgts";"fmm";"outros_fundos_governamentais";"operacoes_compromissadas";"lcas_e_lfs";"debentures_bndespar";"outras_obrigacoes";"patrimonio_liquido";"capital_social";"reservas_lucro";"ora";"passivo_total"
"2002-03-31";58;15964;2857;1807;6919;4381;85981;272;10001;3617;115893;5760;5760;0;49707;20195;18357;11303;7054;3701;0;0;0;3701;0;0;0;5955;12218;0;0;0;115893
"2002-06-30";50;15305;4449;757;6919;3180;89160;269;10579;7368;122731;8337;8337;0;53113;18965;22980;13975;9005;4483;0;0;1337;3146;0;0;0;2353;12500;0;0;0;122731
"2002-09-30";88;16372;5464;636;6755;3517;117073;366;10894;1518;146311;14051;14051;0;61120;19240;31739;19122;12617;5509;0;0;1798;3711;0;0;0;2101;12551;0;0;0;146311
"2002-12-31";142;17580;4189;212;7910;5269;114193;375;11067;7601;150958;15337;15337;0;63142;19512;29953;16968;12985;5782;0;0;1918;3864;0;0;0;4882;12350;0;0;0;150958
"2003-03-31";19;20056;4036;243;7861;7916;115968;319;11220;2756;150338;15097;15097;0;63495;19874;29157;16453;12704;7247;0;0;1829;5418;0;0;0;3482;11986;0;0;0;150338
"2003-06-30";17;19563;4031;211;8250;7071;102880;278;11374;5998;140110;15995;15995;0;61182;20197;24502;13946;10556;5451;0;0;1593;3858;0;0;0;2727;10056;0;0;0;140110
"2003-09-30";25;20533;4353;222;8001;7957;105414;585;11642;5888;144087;17652;17652;0;62437;20250;25458;14684;10774;5766;0;0;1793;3973;0;0;0;2405;10119;0;0;0;144087
"2003-12-31";14;16625;3675;212;8466;4272;113667;490;14399;6930;152125;18059;18059;0;66260;20445;24907;14143;10764;6203;0;0;2129;4074;0;0;0;3394;12857;0;0;0;152125
"2004-03-31";25;17726;3660;211;9454;4401;116983;373;14510;7693;157310;18075;18075;0;69821;20773;25066;14287;10779;6694;0;0;2172;4522;0;0;0;2914;13967;0;0;0;157310
"2004-06-30";474;20746;3679;489;9667;6911;122060;479;14186;7385;165330;19618;19618;0;74402;21103;26128;14333;11795;6847;0;0;2441;4406;0;0;0;2850;14382;0;0;0;165330
"2004-09-30";19;19132;1476;211;9674;7771;121953;367;14399;6948;162818;20511;20511;0;73834;21221;22158;12317;9841;6828;0;0;2348;4480;0;0;0;3044;15222;0;0;0;162818
"2004-12-31";20;19264;2510;0;8502;8252;122484;434;14907;6850;163959;20577;20577;0;75976;21527;21290;12159;9131;6729;0;0;2373;4356;0;0;0;3745;14115;0;0;0;163959
"2005-03-31";708;19711;2252;0;9218;8241;124302;562;15936;9264;170483;20028;20028;0;79760;21939;20047;11060;8987;7582;0;0;2425;5157;0;0;0;5598;15529;0;0;0;170483
"2005-06-30";25;18873;1453;399;8468;8553;123032;634;15032;6910;164506;20400;20400;0;79532;22273;15881;8120;7761;6861;0;0;2161;4700;0;0;0;4494;15065;0;0;0;164506
"2005-09-30";71;17790;1331;415;8962;7082;124184;449;15641;6556;164691;20020;20020;0;81039;22640;14019;6801;7218;6837;0;0;2112;4725;0;0;0;4400;15736;0;0;0;164691
"2005-12-31";15;20826;1040;406;8089;11291;133107;527;14583;5909;174967;19622;19622;0;88464;23660;15902;6735;9167;7195;0;0;2449;4746;0;0;0;4413;15711;0;0;0;174967
"2006-03-31";401;23751;840;521;8942;13448;130900;292;14420;5298;175062;18275;18275;0;88488;24227;15273;6361;8912;7712;0;0;2257;5455;0;0;0;3980;17107;0;0;0;175062
"2006-06-30";224;26095;2979;852;8833;13431;134987;327;14499;4945;181077;18461;18461;0;93833;24837;14573;4409;10164;7085;0;0;2371;4714;0;0;0;3575;18713;0;0;0;181077
"2006-09-30";219;22482;2974;4;8532;10972;137536;202;15927;5283;181649;15603;15603;0;97508;25095;14542;4485;10057;6391;0;0;2636;3755;0;0;0;3122;19388;0;0;0;181649
"2006-12-31";10;18524;1023;4;7825;9672;146879;90;16328;5644;187475;15089;15089;0;100464;25760;14186;4381;9805;7848;0;0;2713;5135;0;0;542;4494;19092;0;0;0;187475
"2007-03-31";52;19398;1040;4;8339;10015;146304;89;15768;5252;186863;13830;13830;0;100528;25952;13502;4270;9232;7770;0;0;2700;5070;0;0;562;4022;20697;0;0;0;186863
"2007-06-30";9;22814;1039;4;5738;16033;145730;125;16835;4980;190493;13128;13128;0;102816;26638;12546;3980;8566;7697;0;0;2735;4962;0;0;579;3524;23565;0;0;0;190493
"2007-09-30";52;15786;1047;4;6029;8706;154413;158;18891;5078;194378;12198;12198;0;103622;27323;11512;3445;8067;7480;0;0;2658;4822;0;0;1974;3638;26631;0;0;0;194378
"2007-12-31";7;13753;1053;4;6067;6629;164527;212;18983;5170;202652;13896;13896;0;105942;27907;12084;2736;9348;8392;0;0;2913;5479;0;0;2026;7482;24923;0;0;0;202652
"2008-03-31";47;18408;1071;0;5632;11705;171571;253;18755;4909;213943;24367;24367;0;106666;28161;13009;2780;10229;8273;0;0;2842;5431;0;0;2095;6581;24791;0;0;0;213943
"2008-06-30";35;18451;1971;0;7601;8879;177745;339;21113;5068;222751;26473;26473;0;109179;29086;11643;2470;9173;8173;0;0;2810;5363;0;0;2168;7256;28773;0;0;0;222751
"2008-09-30";811;20161;7476;5;8643;4037;189956;679;24717;4753;241077;34119;34119;0;111668;29285;14333;2975;11358;13916;6035;0;3532;4348;3963;0;2236;5327;26230;0;0;0;241077
"2008-12-31";6913;22897;10601;1;8078;4217;215989;769;25293;5433;277294;43207;43207;0;116568;29520;17486;3576;13910;22423;6073;7004;4751;4595;8447;0;2302;12074;25267;0;0;0;277294
"2009-03-31";2305;35002;23899;0;8682;2421;221206;838;27296;5837;292484;61401;61401;0;116861;29687;17578;3588;13990;20348;6011;7041;4735;2560;7831;0;2284;10627;25867;0;0;0;292484
"2009-06-30";2104;48154;33541;0;8196;6417;224705;536;28320;5199;309018;85360;85360;0;118874;29811;18140;4935;13205;18139;5936;7026;4677;500;4109;0;2349;7536;24700;0;0;0;309018
"2009-09-30";1639;62741;48444;67;9154;5076;261766;608;33630;5286;365670;143759;143759;0;118855;29924;17025;4597;12428;18105;5859;6999;4708;539;0;0;2280;9155;26567;0;0;0;365670
"2009-12-31";2012;54281;35917;69;12175;6120;283671;786;33943;11940;386633;144213;144213;0;122497;30043;16463;4428;12035;18580;5777;6960;5214;629;13741;0;3599;9869;27628;20261;7242;125;386633
"2010-03-31";1436;128320;33203;75389;14124;5604;294669;1160;11891;9856;447332;144804;144804;0;123462;30157;18172;6393;11779;18581;5696;6910;5396;579;18157;0;3692;26637;63670;0;0;0;447332
